Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value
Two,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,13,Aug 19 - Aug 31,33.1
Two,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,13,Aug 19 - Aug 31,31.1
Two,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,13,Aug 19 - Aug 31,25.2
Two,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,13,Aug 19 - Aug 31,18.2
Two,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,13,Aug 19 - Aug 31,14.6
Two,Symptoms of Anxiety Disorder,By Gender,United States,Male,13,Aug 19 - Aug 31,26.4
Two,Symptoms of Anxiety Disorder,By Gender,United States,Female,13,Aug 19 - Aug 31,36.1
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,Aug 19 - Aug 31,33.3
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,Aug 19 - Aug 31,31.2
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,Aug 19 - Aug 31,30.8
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,Aug 19 - Aug 31,25.1
Two,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,Aug 19 - Aug 31,37.1
Two,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,13,Aug 19 - Aug 31,35.4
Two,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,13,Aug 19 - Aug 31,30.1
Two,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,13,Aug 19 - Aug 31,34.2
Two,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,13,Aug 19 - Aug 31,29.1
Two,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,13,Aug 19 - Aug 31,30.6
Two,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,13,Aug 19 - Aug 31,30.5
Two,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,13,Aug 19 - Aug 31,30.4
Two,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,13,Aug 19 - Aug 31,30.5
Two,Symptoms of Anxiety Disorder,By State,California,California,13,Aug 19 - Aug 31,32.4
Two,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,13,Aug 19 - Aug 31,32.6
Two,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,13,Aug 19 - Aug 31,33.9
Two,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,13,Aug 19 - Aug 31,24.6
Two,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,13,Aug 19 - Aug 31,30.6
Two,Symptoms of Anxiety Disorder,By State,Florida,Florida,13,Aug 19 - Aug 31,33.7
Two,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,13,Aug 19 - Aug 31,31.3
Two,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,13,Aug 19 - Aug 31,35.4
Two,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,13,Aug 19 - Aug 31,28.7
Two,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,13,Aug 19 - Aug 31,33.7
Two,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,13,Aug 19 - Aug 31,32
Two,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,13,Aug 19 - Aug 31,28
Two,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,13,Aug 19 - Aug 31,32
Two,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,13,Aug 19 - Aug 31,34.6
Two,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,13,Aug 19 - Aug 31,37.1
Two,Symptoms of Anxiety Disorder,By State,Maine,Maine,13,Aug 19 - Aug 31,34.9
Two,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,13,Aug 19 - Aug 31,30.9
Two,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,13,Aug 19 - Aug 31,31.5
Two,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,13,Aug 19 - Aug 31,30.6
Two,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,13,Aug 19 - Aug 31,28.6
Two,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,13,Aug 19 - Aug 31,27.7
Two,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,13,Aug 19 - Aug 31,27.8
Two,Symptoms of Anxiety Disorder,By State,Montana,Montana,13,Aug 19 - Aug 31,27.9
Two,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,13,Aug 19 - Aug 31,28
Two,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,13,Aug 19 - Aug 31,35.2
Two,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,13,Aug 19 - Aug 31,28.4
Two,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,13,Aug 19 - Aug 31,33.3
Two,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,13,Aug 19 - Aug 31,35.2
Two,Symptoms of Anxiety Disorder,By State,New York,New York,13,Aug 19 - Aug 31,29.9
Two,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,13,Aug 19 - Aug 31,28.4
Two,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,13,Aug 19 - Aug 31,26.4
Two,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,13,Aug 19 - Aug 31,31.7
Two,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,13,Aug 19 - Aug 31,34
Two,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,13,Aug 19 - Aug 31,34.8
Two,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,13,Aug 19 - Aug 31,31
Two,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,13,Aug 19 - Aug 31,29.9
Two,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,13,Aug 19 - Aug 31,24.5
Two,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,13,Aug 19 - Aug 31,20.9
Two,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,13,Aug 19 - Aug 31,34.8
Two,Symptoms of Anxiety Disorder,By State,Texas,Texas,13,Aug 19 - Aug 31,31.1
Two,Symptoms of Anxiety Disorder,By State,Utah,Utah,13,Aug 19 - Aug 31,30.4
Two,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,13,Aug 19 - Aug 31,28
Two,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,13,Aug 19 - Aug 31,30.5
Two,Symptoms of Anxiety Disorder,By State,Washington,Washington,13,Aug 19 - Aug 31,32.7
Two,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,13,Aug 19 - Aug 31,29
Two,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,13,Aug 19 - Aug 31,25.2
Two,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,13,Aug 19 - Aug 31,32.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,13,Aug 19 - Aug 31,36.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,13,Aug 19 - Aug 31,49
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,13,Aug 19 - Aug 31,42.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,13,Aug 19 - Aug 31,37.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,13,Aug 19 - Aug 31,34.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,13,Aug 19 - Aug 31,29.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,13,Aug 19 - Aug 31,23.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,13,Aug 19 - Aug 31,19.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,13,Aug 19 - Aug 31,31.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,13,Aug 19 - Aug 31,40.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,Aug 19 - Aug 31,40.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,Aug 19 - Aug 31,35.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,Aug 19 - Aug 31,37.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,Aug 19 - Aug 31,30.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,Aug 19 - Aug 31,43.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,13,Aug 19 - Aug 31,41.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,13,Aug 19 - Aug 31,36.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,13,Aug 19 - Aug 31,39.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,13,Aug 19 - Aug 31,32.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,13,Aug 19 - Aug 31,37.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,13,Aug 19 - Aug 31,34.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,13,Aug 19 - Aug 31,35.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,13,Aug 19 - Aug 31,35.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,13,Aug 19 - Aug 31,38
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,13,Aug 19 - Aug 31,37.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,13,Aug 19 - Aug 31,38.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,13,Aug 19 - Aug 31,30.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,13,Aug 19 - Aug 31,35.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,13,Aug 19 - Aug 31,39.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,13,Aug 19 - Aug 31,38.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,13,Aug 19 - Aug 31,40
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,13,Aug 19 - Aug 31,32.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,13,Aug 19 - Aug 31,38.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,13,Aug 19 - Aug 31,38.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,13,Aug 19 - Aug 31,33.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,13,Aug 19 - Aug 31,35.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,13,Aug 19 - Aug 31,38.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,13,Aug 19 - Aug 31,39.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,13,Aug 19 - Aug 31,39.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,13,Aug 19 - Aug 31,34.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,13,Aug 19 - Aug 31,35.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,13,Aug 19 - Aug 31,36.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,13,Aug 19 - Aug 31,31.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,13,Aug 19 - Aug 31,33.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,13,Aug 19 - Aug 31,33.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,13,Aug 19 - Aug 31,30.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,13,Aug 19 - Aug 31,32
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,13,Aug 19 - Aug 31,40.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,13,Aug 19 - Aug 31,31.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,13,Aug 19 - Aug 31,37.8
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,13,Aug 19 - Aug 31,38.9
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,34.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,13,Aug 19 - Aug 31,32.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,13,Aug 19 - Aug 31,29.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,13,Aug 19 - Aug 31,37.3
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,13,Aug 19 - Aug 31,38.6
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,13,Aug 19 - Aug 31,38.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,13,Aug 19 - Aug 31,35.7
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,13,Aug 19 - Aug 31,34.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,13,Aug 19 - Aug 31,30.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,13,Aug 19 - Aug 31,24.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,13,Aug 19 - Aug 31,38.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,13,Aug 19 - Aug 31,37.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,13,Aug 19 - Aug 31,34.4
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,13,Aug 19 - Aug 31,32
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,13,Aug 19 - Aug 31,35.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,13,Aug 19 - Aug 31,37.2
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,13,Aug 19 - Aug 31,34.5
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,13,Aug 19 - Aug 31,29.1
Two,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,13,Aug 19 - Aug 31,35.6
Two,Symptoms of Depressive Disorder,National Estimate,United States,United States,14,Sep 2 - Sep 14,24.4
Two,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,14,Sep 2 - Sep 14,34.9
Two,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,14,Sep 2 - Sep 14,27.2
Two,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,14,Sep 2 - Sep 14,25.8
Two,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,14,Sep 2 - Sep 14,23.1
Two,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,14,Sep 2 - Sep 14,19.4
Two,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,14,Sep 2 - Sep 14,14.9
Two,Symptoms of Depressive Disorder,By Age,United States,80 years and above,14,Sep 2 - Sep 14,13.3
Two,Symptoms of Depressive Disorder,By Gender,United States,Male,14,Sep 2 - Sep 14,22.8
Two,Symptoms of Depressive Disorder,By Gender,United States,Female,14,Sep 2 - Sep 14,26
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,14,Sep 2 - Sep 14,28.9
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",14,Sep 2 - Sep 14,22.7
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",14,Sep 2 - Sep 14,28.5
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",14,Sep 2 - Sep 14,19.1
Two,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",14,Sep 2 - Sep 14,31.4
Two,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,14,Sep 2 - Sep 14,33
Two,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,14,Sep 2 - Sep 14,25.7
Two,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,14,Sep 2 - Sep 14,27.5
Two,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,14,Sep 2 - Sep 14,18.4
Two,Symptoms of Depressive Disorder,By State,Alabama,Alabama,14,Sep 2 - Sep 14,25.2
Two,Symptoms of Depressive Disorder,By State,Alaska,Alaska,14,Sep 2 - Sep 14,23.6
Two,Symptoms of Depressive Disorder,By State,Arizona,Arizona,14,Sep 2 - Sep 14,26.5
Two,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,14,Sep 2 - Sep 14,29.8
Two,Symptoms of Depressive Disorder,By State,California,California,14,Sep 2 - Sep 14,27.6
Two,Symptoms of Depressive Disorder,By State,Colorado,Colorado,14,Sep 2 - Sep 14,22.7
Two,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,14,Sep 2 - Sep 14,21.2
Two,Symptoms of Depressive Disorder,By State,Delaware,Delaware,14,Sep 2 - Sep 14,23.3
Two,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,14,Sep 2 - Sep 14,20.9
Two,Symptoms of Depressive Disorder,By State,Florida,Florida,14,Sep 2 - Sep 14,25.3
Two,Symptoms of Depressive Disorder,By State,Georgia,Georgia,14,Sep 2 - Sep 14,23.2
Two,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,14,Sep 2 - Sep 14,29.4
Two,Symptoms of Depressive Disorder,By State,Idaho,Idaho,14,Sep 2 - Sep 14,21.8
Two,Symptoms of Depressive Disorder,By State,Illinois,Illinois,14,Sep 2 - Sep 14,24.2
Two,Symptoms of Depressive Disorder,By State,Indiana,Indiana,14,Sep 2 - Sep 14,20.7
Two,Symptoms of Depressive Disorder,By State,Iowa,Iowa,14,Sep 2 - Sep 14,22.8
Two,Symptoms of Depressive Disorder,By State,Kansas,Kansas,14,Sep 2 - Sep 14,19.3
Two,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,14,Sep 2 - Sep 14,30.1
Two,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,14,Sep 2 - Sep 14,30.3
Two,Symptoms of Depressive Disorder,By State,Maine,Maine,14,Sep 2 - Sep 14,20.4
Two,Symptoms of Depressive Disorder,By State,Maryland,Maryland,14,Sep 2 - Sep 14,23.3
Two,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,14,Sep 2 - Sep 14,20.5
Two,Symptoms of Depressive Disorder,By State,Michigan,Michigan,14,Sep 2 - Sep 14,23.4
